OID_,Name,Parcel__Parcel_Name,Project_ID,Record_Type,Project_Status,Owner__Full_Name,Project_Street_Number,Project_Street_Name,Project_Street_Suffix,Neighborhood,Project_Zip_Code,Letter_of_Intent,Filed_Date,BPDA_Board_Approval,First_Building_Permit,COO_Permit_Date,Last_Modified_Date,Last_Project_Update_Date,Lat,Lon,A80_Proj_ID,LocCode,A80_URL,URL_Base,URL_Stat
1750,316-322 Summer Street Project,,2988,,,,,,,South Boston Waterfront,,,,6/29/2006 0:00:00,7/3/2012 0:00:00,7/18/2013 0:00:00,10/30/2020 0:00:00,,42.349699999999999,-71.048400000000001,2988,,http://www.bostonplans.org/projects/development-projects/316-322-Summer-Street-Project,316-322-Summer-Street-Project,
1751,Emerald Court,,2989,,,,,,,South Boston,,,,2/13/2007 0:00:00,,,10/30/2020 0:00:00,,42.341099999999997,-71.050100000000000,2989,,http://www.bostonplans.org/projects/development-projects/Emerald-Court,Emerald-Court,
1752,Parcel 24 Project,,2990,,,,,,,Downtown,,,,10/16/2008 0:00:00,10/10/2013 0:00:00,11/24/2015 0:00:00,10/30/2020 0:00:00,,42.347799999999999,-71.061199999999999,2990,,http://www.bostonplans.org/projects/development-projects/Parcel-24-Project,Parcel-24-Project,
1753,Jackson Square Project -- Phase 1,,2991,,,,,,,Jamaica Plain,,,,11/15/2007 0:00:00,12/20/2013 0:00:00,6/2/2015 0:00:00,10/30/2020 0:00:00,,42.322200000000002,-71.099699999999999,2991,,http://www.bostonplans.org/projects/development-projects/Jackson-Square-Project----Phase-1,Jackson-Square-Project----Phase-1,
1754,120 Kingston Street,,2992,,,,,,,Chinatown,,,,5/15/2008 0:00:00,8/21/2012 0:00:00,5/16/2014 0:00:00,10/30/2020 0:00:00,,42.352200000000003,-71.059100000000001,2992,,http://www.bostonplans.org/projects/development-projects/120-Kingston-Street,120-Kingston-Street,
1755,120 Kingston Street NPC,,2993,,,,,,,Chinatown,,,,10/12/2010 0:00:00,8/21/2012 0:00:00,6/24/2014 0:00:00,10/30/2020 0:00:00,,42.352200000000003,-71.059100000000001,2993,,http://www.bostonplans.org/projects/development-projects/120-Kingston-Street-NPC,120-Kingston-Street-NPC,
1756,Penniman on the Park,,2994,,,,,,,Allston,,,,5/14/2009 0:00:00,8/22/2016 0:00:00,6/29/2018 0:00:00,10/30/2020 0:00:00,,42.355300000000000,-71.136200000000002,2994,,http://www.bostonplans.org/projects/development-projects/Penniman-on-the-Park,Penniman-on-the-Park,
1757,Boston East (duplicate),,2995,,,,,,,East Boston,,,,7/16/2013 0:00:00,12/29/2015 0:00:00,,10/30/2020 0:00:00,,42.373600000000003,-71.042599999999993,2995,,http://www.bostonplans.org/projects/development-projects/Boston-East-(duplicate),Boston-East-(duplicate),
1758,Longwood Research Center at 121 Brookline,,2996,,,,,,,Fenway,,,,6/21/2007 0:00:00,,,10/30/2020 0:00:00,,42.345900000000000,-71.100600000000000,2996,,http://www.bostonplans.org/projects/development-projects/Longwood-Research-Center-at-121-Brookline,Longwood-Research-Center-at-121-Brookline,
1759,368 Congress Street,,2997,,,,,,,South Boston Waterfront,,,,8/14/2007 0:00:00,1/19/2012 0:00:00,5/30/2013 0:00:00,10/30/2020 0:00:00,,42.350400000000000,-71.047799999999995,2997,,http://www.bostonplans.org/projects/development-projects/368-Congress-Street,368-Congress-Street,
