OID_,Name,Parcel__Parcel_Name,Project_ID,Record_Type,Project_Status,Owner__Full_Name,Project_Street_Number,Project_Street_Name,Project_Street_Suffix,Neighborhood,Project_Zip_Code,Letter_of_Intent,Filed_Date,BPDA_Board_Approval,First_Building_Permit,COO_Permit_Date,Last_Modified_Date,Last_Project_Update_Date,Lat,Lon,A80_Proj_ID,LocCode,A80_URL,URL_Base,URL_Stat
1038,Seaport Square Block J,,1787,,,,,,,South Boston Waterfront,,,,8/13/2015 0:00:00,9/15/2015 0:00:00,5/11/2017 0:00:00,11/29/2020 0:00:00,8/7/2017 0:00:00,42.352600000000002,-71.047899999999998,1787,,http://www.bostonplans.org/projects/development-projects/Seaport-Square-Block-J,Seaport-Square-Block-J,200
1039,Seaport Square Block H,,1788,,,,,,,South Boston Waterfront,,,,6/11/2015 0:00:00,9/1/2015 0:00:00,10/19/2016 0:00:00,11/29/2020 0:00:00,8/9/2017 0:00:00,42.352800000000002,-71.048199999999994,1788,,http://www.bostonplans.org/projects/development-projects/Seaport-Square-Block-H,Seaport-Square-Block-H,200
1040,1470 Tremont Street,,1789,,,,,,,Mission Hill,,,2/12/2016 0:00:00,5/12/2016 0:00:00,6/30/2017 0:00:00,10/6/2020 0:00:00,1/11/2021 0:00:00,4/28/2017 0:00:00,42.331699999999998,-71.098200000000006,1789,,http://www.bostonplans.org/projects/development-projects/1470-Tremont-Street,1470-Tremont-Street,200
1041,25 Fid Kennedy,,1790,,,,,,,South Boston Waterfront,,,9/30/2016 0:00:00,11/10/2015 0:00:00,11/7/2016 0:00:00,1/8/2018 0:00:00,11/29/2020 0:00:00,8/31/2016 0:00:00,42.346299999999999,-71.026700000000005,1790,,http://www.bostonplans.org/projects/development-projects/25-Fid-Kennedy,25-Fid-Kennedy,200
1042,Center Plaza,,1791,,,,,,,Downtown,,,,10/15/2015 0:00:00,2/5/2016 0:00:00,,11/29/2020 0:00:00,10/15/2015 0:00:00,42.359800000000000,-71.060100000000006,1791,,http://www.bostonplans.org/projects/development-projects/Center-Plaza,Center-Plaza,200
1043,20 Taft Hill Park,,1792,,,,,,,Roslindale,,,,12/10/2015 0:00:00,1/24/2017 0:00:00,11/13/2018 0:00:00,11/29/2020 0:00:00,5/10/2019 0:00:00,42.287900000000000,-71.128699999999995,1792,,http://www.bostonplans.org/projects/development-projects/20-Taft-Hill-Park,20-Taft-Hill-Park,200
1044,Epiphany School,,1793,,,,,,,Dorchester,,,,12/10/2015 0:00:00,10/20/2016 0:00:00,7/14/2017 0:00:00,11/29/2020 0:00:00,7/28/2016 0:00:00,42.293700000000001,-71.063599999999994,1793,,http://www.bostonplans.org/projects/development-projects/Epiphany-School,Epiphany-School,200
1045,1235 VFW Parkway,,1794,,,,,,,West Roxbury,,9/28/2015 0:00:00,10/26/2015 0:00:00,1/14/2016 0:00:00,6/13/2017 0:00:00,8/31/2018 0:00:00,1/20/2021 0:00:00,2/28/2020 0:00:00,42.277999999999999,-71.172399999999996,1794,,http://www.bostonplans.org/projects/development-projects/1235-VFW-Parkway,1235-VFW-Parkway,200
1046,Harvard University - Klarman Hall/ G2 Pavilion,,1795,,,,,,,Allston,,,10/2/2015 0:00:00,12/10/2015 0:00:00,,,12/11/2020 0:00:00,3/29/2016 0:00:00,42.365099999999998,-71.120900000000006,1795,,,Harvard-University-Klarman-Hall/-G2-Pavilion,404
1047,Holiday Inn Express Boston,,1796,,,,,,,Dorchester,,,10/13/2015 0:00:00,1/14/2016 0:00:00,4/26/2017 0:00:00,7/31/2018 0:00:00,11/30/2020 0:00:00,4/14/2017 0:00:00,42.327300000000001,-71.059399999999997,1796,,http://www.bostonplans.org/projects/development-projects/Holiday-Inn-Express-Boston,Holiday-Inn-Express-Boston,200
1048,Fan Pier Parcel D,,1797,,,,,,,South Boston Waterfront,,,,10/15/2015 0:00:00,1/26/2016 0:00:00,3/7/2018 0:00:00,11/29/2020 0:00:00,11/7/2018 0:00:00,42.353900000000003,-71.044700000000006,1797,,http://www.bostonplans.org/projects/development-projects/Fan-Pier-Parcel-D,Fan-Pier-Parcel-D,200
1049,48 Boylston Street,,1798,,,,,,,Chinatown,,,10/27/2015 0:00:00,12/10/2015 0:00:00,12/22/2017 0:00:00,12/20/2018 0:00:00,11/30/2020 0:00:00,10/30/2017 0:00:00,42.352100000000000,-71.064099999999996,1798,,http://www.bostonplans.org/projects/development-projects/48-Boylston-Street,48-Boylston-Street,200
1050,2 Oxford Street,,1799,,,,,,,Chinatown,,10/6/2015 0:00:00,4/20/2016 0:00:00,,,,10/30/2020 0:00:00,,42.352499999999999,-71.060400000000001,1799,,,2-Oxford-Street,404
1051,Emmanuel College - New Julie Hall,,1800,,,,,,,Longwood Medical Area,,10/15/2015 0:00:00,11/4/2015 0:00:00,1/14/2016 0:00:00,11/17/2016 0:00:00,8/21/2018 0:00:00,11/30/2020 0:00:00,6/1/2016 0:00:00,42.340400000000002,-71.101600000000005,1800,,http://www.bostonplans.org/projects/development-projects/Emmanuel-College-New-Julie-Hall,Emmanuel-College-New-Julie-Hall,200
1052,392-398 Cambridge Street,,1801,,,,,,,Allston,,,10/13/2015 0:00:00,2/11/2016 0:00:00,10/25/2018 0:00:00,,11/30/2020 0:00:00,10/5/2018 0:00:00,42.354900000000001,-71.133399999999995,1801,,http://www.bostonplans.org/projects/development-projects/392-398-Cambridge-Street,392-398-Cambridge-Street,200
1053,1789 Centre Street,,1802,,,,,,,West Roxbury,,,,1/14/2016 0:00:00,10/27/2016 0:00:00,9/3/2019 0:00:00,11/29/2020 0:00:00,1/14/2016 0:00:00,42.287700000000001,-71.152600000000007,1802,,http://www.bostonplans.org/projects/development-projects/1789-Centre-Street,1789-Centre-Street,200
1054,85-93 Willow Court,,1803,,,,,,,Dorchester,,,2/16/2016 0:00:00,4/14/2016 0:00:00,5/31/2017 0:00:00,12/28/2018 0:00:00,11/30/2020 0:00:00,11/7/2016 0:00:00,42.325000000000003,-71.064200000000000,1803,,http://www.bostonplans.org/projects/development-projects/85-93-Willow-Court,85-93-Willow-Court,200
1055,232 Old Colony Avenue,,1804,,,,,,,South Boston,,,12/11/2015 0:00:00,3/17/2016 0:00:00,8/12/2016 0:00:00,4/3/2019 0:00:00,11/30/2020 0:00:00,5/2/2019 0:00:00,42.332200000000000,-71.053200000000004,1804,,http://www.bostonplans.org/projects/development-projects/232-Old-Colony-Avenue,232-Old-Colony-Avenue,200
1056,Conservatory Lab Charter School,,1805,,,,,,,Roxbury,,,11/9/2015 0:00:00,,,,10/30/2020 0:00:00,,42.327599999999997,-71.087800000000001,1805,,http://www.bostonplans.org/projects/development-projects/Conservatory-Lab-Charter-School,Conservatory-Lab-Charter-School,200
1057,Seaport Square Block L2,,1808,,,,,,,South Boston Waterfront,,,,5/14/2015 0:00:00,12/24/2015 0:00:00,4/25/2018 0:00:00,11/29/2020 0:00:00,8/17/2018 0:00:00,42.350800000000000,-71.044700000000006,1808,,,Seaport-Square-Block-L2,404
1058,8 Banton Street,,1809,,,,,,,Dorchester,,,11/24/2015 0:00:00,2/11/2016 0:00:00,6/29/2017 0:00:00,1/11/2019 0:00:00,12/1/2020 0:00:00,8/8/2019 0:00:00,42.288300000000000,-71.064200000000000,1809,,http://www.bostonplans.org/projects/development-projects/8-Banton-Street,8-Banton-Street,200
1059,530 Western Avenue,,1810,,,,,,,Brighton,,,,5/12/2016 0:00:00,5/11/2017 0:00:00,5/24/2019 0:00:00,12/1/2020 0:00:00,4/17/2020 0:00:00,42.361300000000000,-71.145499999999998,1810,,http://www.bostonplans.org/projects/development-projects/530-Western-Avenue,530-Western-Avenue,200
1060,Waterside Place - Phase 1B,,1811,,,,,,,South Boston Waterfront,,11/30/2015 0:00:00,,7/14/2016 0:00:00,1/26/2018 0:00:00,,11/29/2020 0:00:00,1/16/2018 0:00:00,42.348399999999998,-71.042100000000005,1811,,http://www.bostonplans.org/projects/development-projects/Waterside-Place-Phase-1B,Waterside-Place-Phase-1B,200
1061,The Residences at 125 Guest Street- Boston Landing,,1812,,,,,,,Brighton,,11/25/2015 0:00:00,12/1/2015 0:00:00,3/17/2016 0:00:00,9/14/2016 0:00:00,3/29/2018 0:00:00,1/11/2021 0:00:00,11/19/2020 0:00:00,42.356299999999997,-71.143000000000001,1812,,,The-Residences-at-125-Guest-Street--Boston-Landing,404
1062,Boston University - Myles Standish Hall/Annex Renovation,,1813,,,,,,,Fenway,,,12/11/2015 0:00:00,2/11/2016 0:00:00,4/27/2016 0:00:00,8/23/2018 0:00:00,11/30/2020 0:00:00,4/20/2016 0:00:00,42.349699999999999,-71.094499999999996,1813,,,Boston-University-Myles-Standish-Hall/Annex-Renovation,404
1063,Bridge Boston Charter School,,1814,,,,,,,Roxbury,,,12/8/2015 0:00:00,4/14/2016 0:00:00,9/12/2016 0:00:00,4/18/2018 0:00:00,11/30/2020 0:00:00,4/14/2016 0:00:00,42.316600000000001,-71.083200000000005,1814,,http://www.bostonplans.org/projects/development-projects/Bridge-Boston-Charter-School,Bridge-Boston-Charter-School,200
1064,Cote Village,,1815,,,,,,,Mattapan,,10/15/2015 0:00:00,12/16/2015 0:00:00,4/14/2016 0:00:00,12/2/2019 0:00:00,,10/30/2020 0:00:00,,42.270400000000002,-71.096599999999995,1815,,http://www.bostonplans.org/projects/development-projects/Cote-Village,Cote-Village,200
1065,PDA No. 94,,1816,,,,,,,,,,,,,,10/30/2020 0:00:00,,42.356999999999999,-71.093000000000004,1816,None,,PDA-No.-94,404
1066,Indigo Block Redevelopment,,1818,,,,,,,Dorchester,,6/29/2015 0:00:00,12/11/2015 0:00:00,6/9/2016 0:00:00,,,11/30/2020 0:00:00,6/26/2019 0:00:00,42.320799999999998,-71.067599999999999,1818,,http://www.bostonplans.org/projects/development-projects/Indigo-Block-Redevelopment,Indigo-Block-Redevelopment,200
1067,New England Heritage Homes,,1819,,,,,,,Dorchester,,,12/9/2015 0:00:00,9/14/2017 0:00:00,11/6/2018 0:00:00,,11/30/2020 0:00:00,6/2/2018 0:00:00,42.290399999999998,-71.077799999999996,1819,,http://www.bostonplans.org/projects/development-projects/New-England-Heritage-Homes,New-England-Heritage-Homes,200
1068,O'Connor Way Elderly Housing,,1820,,,,,,,South Boston,,,,4/14/2016 0:00:00,9/28/2018 0:00:00,12/23/2020 0:00:00,1/12/2021 0:00:00,8/17/2018 0:00:00,42.327800000000003,-71.056299999999993,1820,,http://www.bostonplans.org/projects/development-projects/O-Connor-Way-Elderly-Housing,O-Connor-Way-Elderly-Housing,200
1069,150 Seaport Boulevard,,1821,,,,,,,South Boston Waterfront,,12/21/2015 0:00:00,3/30/2016 0:00:00,8/11/2016 0:00:00,12/18/2018 0:00:00,,11/29/2020 0:00:00,9/17/2018 0:00:00,42.350700000000003,-71.042800000000000,1821,,http://www.bostonplans.org/projects/development-projects/150-Seaport-Boulevard,150-Seaport-Boulevard,200
1070,Northeastern University - Columbus Avenue Student Housing,,1822,,,,,,,Roxbury,,,1/21/2016 0:00:00,7/14/2016 0:00:00,4/14/2017 0:00:00,7/15/2019 0:00:00,11/30/2020 0:00:00,4/6/2017 0:00:00,42.337100000000000,-71.085499999999996,1822,,,Northeastern-University-Columbus-Avenue-Student-Housing,404
1071,1943 Dorchester Avenue,,1823,,,,,,,Dorchester,,,3/21/2016 0:00:00,7/14/2016 0:00:00,9/22/2017 0:00:00,2/4/2019 0:00:00,12/1/2020 0:00:00,7/20/2018 0:00:00,42.284399999999998,-71.065200000000004,1823,,http://www.bostonplans.org/projects/development-projects/1943-Dorchester-Avenue,1943-Dorchester-Avenue,200
1072,Seaport Square Block M,,1824,,,,,,,South Boston Waterfront,,,,5/12/2016 0:00:00,12/14/2017 0:00:00,12/14/2020 0:00:00,12/30/2020 0:00:00,11/17/2017 0:00:00,42.350000000000001,-71.043999999999997,1824,,http://www.bostonplans.org/projects/development-projects/Seaport-Square-Block-M,Seaport-Square-Block-M,200
1073,100 A St.,,1826,,,,,,,South Boston,,,,2/11/2016 0:00:00,5/11/2018 0:00:00,2/6/2019 0:00:00,10/30/2020 0:00:00,,42.342799999999997,-71.054599999999994,1826,,,100-A-St.,404
1074,69 A Street,,1827,,,,,,,South Boston,,,,2/11/2016 0:00:00,,,1/6/2021 0:00:00,,42.341999999999999,-71.055099999999996,1827,,http://www.bostonplans.org/projects/development-projects/69-A-Street,69-A-Street,200
1075,Jackson Square Site III Phase 3,,1828,,,,,,,Jamaica Plain,,,12/11/2015 0:00:00,8/11/2016 0:00:00,9/28/2016 0:00:00,,11/30/2020 0:00:00,8/11/2016 0:00:00,42.322200000000002,-71.100099999999998,1828,,http://www.bostonplans.org/projects/development-projects/Jackson-Square-Site-III-Phase-3,Jackson-Square-Site-III-Phase-3,200
